outlander_phev,アウトランダーPHEV,三菱,JP
eclipse-cross_phev,エクリプス クロスPHEV,三菱,JP
ek_x_ev,eKクロス EV,三菱,JP
minicab-miev,ミニキャブ・ミーブ,三菱,JP
eclipse-cross,エクリプス クロス,三菱,JP
rvr,RVR,三菱,JP
delica_d5,デリカD:5,三菱,JP
delica_d5_urbangear,デリカD:5 URBAN GEAR,三菱,JP
delica_d2,デリカD:2,三菱,JP
delica_d2_custom,デリカD:2 カスタム,三菱,JP
mirage,ミラージュ,三菱,JP
ek_x,eKクロス,三菱,JP
ek_wagon,eKワゴン,三菱,JP
delica_mini,デリカミニ,三菱,JP
ek_space,eKスペース,三菱,JP
townbox,タウンボックス,三菱,JP
minicab_van,ミニキャブ バン,三菱,JP
minicab_truck,ミニキャブ トラック,三菱,JP
triton,トライトン,三菱,JP
ariya,アリヤ,日産,JP
leaf,リーフ,日産,JP
sakura,サクラ,日産,JP
aura,オーラ,日産,JP
note,ノート,日産,JP
x-trail,エクストレイル,日産,JP
kicks,キックス,日産,JP
serena,セレナ,日産,JP
roox,ルークス,日産,JP
dayz,デイズ,日産,JP
nv100clipperrio,NV100クリッパー リオ,日産,JP
elgrand,エルグランド,日産,JP
caravan,キャラバン,日産,JP
nv200vanette,NV200バネット,日産,JP
gt-r,NISSAN GT-R,日産,JP
z,フェアレディZ,日産,JP
skyline,スカイライン,日産,JP
aqua,アクア,トヨタ,JP
corollasport,カローラ スポーツ,トヨタ,JP
gryaris,GRヤリス,トヨタ,JP
passo,パッソ,トヨタ,JP
yaris,ヤリス,トヨタ,JP
roomy,ルーミー,トヨタ,JP
alphard,アルファード,トヨタ,JP
vellfire,ヴェルファイア,トヨタ,JP
voxy,ヴォクシー,トヨタ,JP
granace,グランエース,トヨタ,JP
sienta,シエンタ,トヨタ,JP
noah,ノア,トヨタ,JP
hiacewagon,ハイエース ワゴン,トヨタ,JP
camry,カムリ,トヨタ,JP
corolla,カローラ,トヨタ,JP
corollaaxio,カローラ アクシオ,トヨタ,JP
century,センチュリー,トヨタ,JP
prius,プリウス,トヨタ,JP
mirai,MIRAI,トヨタ,JP
corollatouring,カローラ ツーリング,トヨタ,JP
corollafielder,カローラ フィールダー,トヨタ,JP
corollacross,カローラ クロス,トヨタ,JP
crown,クラウン,トヨタ,JP
c-hr,C-HR,トヨタ,JP
hilux,ハイラックス,トヨタ,JP
harrier,ハリアー,トヨタ,JP
bz4x,bZ4X,トヨタ,JP
yariscross,ヤリス クロス,トヨタ,JP
raize,ライズ,トヨタ,JP
rav4,RAV4,トヨタ,JP
landcruiser,ランドクルーザー,トヨタ,JP
landcruiserprado,ランドクルーザー プラド,トヨタ,JP
copengrsport,コペン GR SPORT,トヨタ,JP
grcorolla,GRカローラ,トヨタ,JP
gr86,GR86,トヨタ,JP
supra,スープラ,トヨタ,JP
aquagrsport,アクア GR SPORT,トヨタ,JP
c-hrgrsport,C-HR GR SPORT,トヨタ,JP
hiluxgrsport,ハイラックス GR SPORT,トヨタ,JP
yariscrossgrsport,ヤリス クロス GR SPORT,トヨタ,JP
landcruisergrsport,ランドクルーザー GR SPORT,トヨタ,JP
pixisepoch,ピクシス エポック,トヨタ,JP
pixistruck,ピクシス トラック,トヨタ,JP
pixisvan,ピクシス バン,トヨタ,JP
n-van,N-VAN,ホンダ,JP
n-box,N-BOX,ホンダ,JP
n-wgn,N-WGN,ホンダ,JP
n-one,N-ONE,ホンダ,JP
fit,FIT,ホンダ,JP
honda-e,Honda e,ホンダ,JP
step-wgn,STEP WGN,ホンダ,JP
freed,FREED,ホンダ,JP
vezel,VEZEL,ホンダ,JP
zr-v,ZR-V,ホンダ,JP
civic,CIVIC,ホンダ,JP
civic-type-r,CIVIC TYPE R,ホンダ,JP
cx-3,MAZDA CX-3,マツダ,JP
cx-30,MAZDA CX-30,マツダ,JP
mx-30,MAZDA MX-30,マツダ,JP
mx-30ev,MAZDA MX-30(EV),マツダ,JP
cx-5,MAZDA CX-5,マツダ,JP
cx-60,MAZDA CX-60,マツダ,JP
cx-8,MAZDA CX-8,マツダ,JP
mazda2,MAZDA2,マツダ,JP
mazda3-fastback,MAZDA3 FASTBACK,マツダ,JP
mazda6-wagon,MAZDA6 WAGON,マツダ,JP
mazda3-sedan,MAZDA3 SEDAN,マツダ,JP
mazda6-sedan,MAZDA6 SEDAN,マツダ,JP
roadster,MAZDA ROADSTER,マツダ,JP
roadster-rf,MAZDA ROADSTER RF,マツダ,JP
alto,アルト,スズキ,JP
everywagon,エブリイワゴン,スズキ,JP
jimny,ジムニー,スズキ,JP
spacia,スペーシア,スズキ,JP
spacia_custom,スペーシア カスタム,スズキ,JP
spacia_gear,スペーシア ギア,スズキ,JP
spacia_gear_mystyle,スペーシア ギア マイスタイル,スズキ,JP
hustler,ハスラー,スズキ,JP
hustler_jstyle2,ハスラー Jスタイル Ⅱ,スズキ,JP
lapin,ラパン,スズキ,JP
lapin_lc,ラパン LC,スズキ,JP
wagonr,ワゴンＲ,スズキ,JP
wagonr_customz,ワゴンＲ カズタムＺ,スズキ,JP
wagonr_stingray,ワゴンＲ スティングレー,スズキ,JP
wagonr_smile,ワゴンＲ スマイル,スズキ,JP
